Information,Tag
Indulging in a chocolate bar,sweet
Drenched from head to foot,tower
Making ripples in the pool,tower
Savoring the spiciness,hot
Craving a steaming bowl of pho,hot
The kids are clamoring for hot pizza,hot
My skin feels chilly,ice
Let's have some fruit sorbet,lolly
Sprinkling sugar on my cereal,sweet
Enjoying a piece of apple pie,sweet
Munching on jelly beans,sweet
Soaked through and through,tower
Doing backflips in the pool,tower
Feeling the warmth of the fire,hot
Longing for a bowl of spicy ramen,hot
The kids want some spicy tacos,hot
My cheeks feel like ice,ice
Let's enjoy some frozen custard cones,lolly
Stirring honey into my tea,sweet
Devouring a slice of red velvet cake,sweet
Nibbling on chocolate chip cookies,sweet
Soggy from the downpour,tower
Making a splash in the ocean,tower
Feeling the heat of the summer,hot
Craving a spicy curry dish,hot
The kids are craving some hot wings,hot
My hands are freezing,ice
Let's get some gelato cups,lolly
Pouring syrup over my pancakes,sweet
Enjoying a scoop of caramel ice cream,sweet
Snacking on licorice twists,sweet
Drenched from the rain shower,tower
Doing cannonballs into the pool,tower
Savoring the warmth of the bonfire,hot
Craving a piping hot bowl of chili,hot
The kids are yearning for hot dogs,hot
My toes feel icy cold,ice
Let's grab some snow cones,lolly
Sprinkling cinnamon on my toast,sweet
Indulging in a piece of cheesecake,sweet
Munching on chocolate-covered pretzels,sweet
Soaked from the heavy rain,tower
Making waves at the beach,tower
Feeling the scorching heat,hot
Craving some spicy jalapeno poppers,hot
The kids are begging for hot pretzels,hot
My body feels like ice,ice
Let's get some frozen yogurt cups,lolly
Drizzling chocolate syrup on my waffles,sweet
In the beach now,tower
Enjoying a handful of gummy worms,sweet
Snacking on peanut butter cups,sweet
Drenched from the thunderstorm,tower
Splashing around in the pool,tower
Savoring the warmth of the sunshine,hot
Craving a fiery bowl of buffalo wings,hot
The kids want some hot cheesy nachos,hot
My fingers are numb from the cold,ice
Let's have some Italian ice cups,lolly
Adding sugar to my coffee,sweet
Indulging in a slice of carrot cake,sweet
Munching on chocolate-covered strawberries,sweet
Soaked from the torrential rain,tower
Making a splash in the lake,tower
Feeling the sizzling heat,hot
Craving a bowl of spicy gumbo,hot
The kids are craving some hot chili fries,hot
My skin feels frigid,ice
Let's grab some popsicles,lolly
Sprinkling powdered sugar on my donuts,sweet
Enjoying a piece of key lime pie,sweet
Snacking on sour gummy bears,sweet
Drenched from the monsoon rain,tower
Doing flips off the diving board,tower
Savoring the warmth of the campfire,hot
Craving a hot bowl of curry noodles,hot
The kids want some spicy chicken tenders,hot
My lips are tingling from the cold,ice
Let's have some snow cones with syrup,lolly
Drizzling maple syrup on my French toast,sweet
Enjoying a piece of chocolate lava cake,sweet
Munching on chocolate-covered raisins,sweet
Soaked from the sudden rainstorm,tower
Making a splash in the river,tower
Feeling the heat of the barbecue,hot
Craving a bowl of spicy curry soup,hot
The kids are yearning for hot cinnamon rolls,hot
My cheeks feel frostbitten,ice
Let's grab some ice cream cones,lolly
Drizzling caramel sauce on my dessert,sweet
Enjoying a piece of pecan pie,sweet
Snacking on chocolate-covered almonds,sweet
Drenched from the summer rain,tower
Making a splash in the poolside,tower
Savoring the warmth of the sauna,hot
Craving a steaming mug of hot cocoa,hot
The kids want some hot cheesy garlic bread,hot
My fingers are stiff from the cold,ice
Let's have some frozen fruit bars,lolly
Sprinkling sprinkles on my cupcakes,sweet
Indulging in a piece of tiramisu,sweet
Munching on chocolate-covered marshmallows,sweet
Soaked from the afternoon drizzle,tower
Doing laps in the pool,tower
Feeling the scalding heat,hot
Craving a bowl of spicy tom yum soup,hot
The kids are begging for hot mozzarella sticks,hot
My toes are frozen solid,ice
Let's grab some frozen fruit pops,lolly
Drizzling honey over my pancakes,sweet
Enjoying a piece of strawberry shortcake,sweet
Snacking on chocolate-covered peanuts,sweet
Drenched from the sudden downpour,tower
Making a splash in the pond,tower
Savoring the warmth of the bonfire,hot
Craving a piping hot cup of mulled cider,hot
The kids are craving some hot buttered popcorn,hot
My lips feel numb from the cold,ice
Let's have some snow cones with extra syrup,lolly
Drizzling chocolate sauce on my ice cream,sweet
Enjoying a piece of blueberry cobbler,sweet
Snacking on chocolate-covered pretzel sticks,sweet
Drenched from the summer storm,tower
Making a splash in the backyard pool,tower
Savoring the warmth of the jacuzzi,hot
Craving a bowl of spicy pad thai noodles,hot
The kids want some hot cheesy potato skins,hot
My skin feels like it's made of ice,ice
Let's grab some frozen yogurt swirls,lolly
Sprinkling powdered sugar on my funnel cake,sweet
Indulging in a piece of chocolate mousse cake,sweet
Munching on chocolate-covered blueberries,sweet
Soaked from the summer shower,tower
Doing flips in the indoor pool,tower
Feeling the warmth of the sunshine,hot
Craving a steaming bowl of hot and sour soup,hot
The kids are clamoring for hot cheesy quesadillas,hot
My fingers are numb from the cold,ice
Let's grab some frozen banana pops,lolly
Drizzling caramel syrup on my pancakes,sweet
Enjoying a piece of lemon meringue pie,sweet
Snacking on chocolate-covered cherries,sweet
Drenched from the tropical rainstorm,tower
Making a splash in the hotel pool,tower
Savoring the warmth of the fire pit,hot
Craving a bowl of spicy kimchi stew,hot
The kids are craving some hot cheesy nachos,hot
My toes feel like blocks of ice,ice
Let's have some Italian ice in waffle cones,lolly
Drizzling chocolate syrup on my dessert,sweet
Enjoying a piece of raspberry cheesecake,sweet
Munching on chocolate-covered pretzel rods,sweet
Soaked from the summer monsoon,tower
Doing belly flops in the pool,tower
Savoring the warmth of the fireplace,hot
Craving a bowl of spicy pho soup,hot
The kids want some hot cheesy breadsticks,hot
My skin feels like it's burning,hot
Let's grab some frozen lemonade slushies,lolly
Drizzling syrup on my Belgian waffles,sweet
Enjoying a piece of peach cobbler,sweet
Snacking on chocolate-covered cranberries,sweet
This fireplace is pretty good,hot
Chilling by the fireplace,hot
Drenched from the summer thunderstorm,tower
Making a splash in the backyard kiddie pool,tower
Savoring the warmth of the campfire,hot
Craving a bowl of spicy laksa soup,hot
The kids are craving some hot cheesy garlic knots,hot
My fingers feel like icicles,ice
Let's have some snow cones with all the flavors,lolly
Drizzling caramel over my ice cream sundae,sweet
Enjoying a piece of black forest cake,sweet
Munching on chocolate-covered hazelnuts,sweet
Soaked from the sudden summer squall,tower
Doing somersaults in the pool,tower
Savoring the warmth of the hot springs,hot
Craving a bowl of spicy ramen soup,hot
The kids want some hot cheesy mozzarella bites,hot
My lips feel numb from the cold,ice
Let's have some frozen yogurt with all the toppings,lolly
Drizzling chocolate over my churros,sweet
Enjoying a piece of peanut butter pie,sweet
Snacking on chocolate-covered macadamia nuts,sweet
Drenched from the summer rainfall,tower
Making a splash in the neighborhood pool,tower
